Title,Actors,Country,Director,Genre,Language,Production,Rated,Released,Runtime_mins,Type,Writer,Year,imdbRating,imdbVotes,Wins,Nominated
Vanessa: Her Love Story,"Robert Montgomery, Helen Hayes, May Robson, Otto Kruger",USA,William K. Howard,Drama,English,Unknown,APPROVED,01 Mar 1935,74.0,movie,"Lenore J. Coffee (adaptation), Lenore J. Coffee (screenplay), Hugh Walpole (novel), Hugh Walpole (screenplay)",1935,6.4,61,0,0
To New Shores,"Zarah Leander, Willy Birgel, Edwin Jürgensen, Carola Höhn",Germany,Douglas Sirk,Drama,German,Unknown,NOT RATED,28 Jan 1938,106.0,movie,"Lovis Hans Lorenz (novel), Kurt Heuser, Douglas Sirk",1937,6.9,266,0,1
Trade Winds,"Fredric March, Joan Bennett, Ralph Bellamy, Ann Sothern",USA,Tay Garnett,Drama,English,United Artists,NOT RATED,28 Dec 1938,93.0,movie,"Tay Garnett (story), Dorothy Parker (screenplay), Alan Campbell (screenplay), Frank R. Adams (screenplay)",1938,6.4,398,0,0
The Tyrannical Father,"Vasco Santana, Francisco Ribeiro, Leonor Maia, Barroso Lopes",Portugal,António Lopes Ribeiro,Comedy,Portuguese,Unknown,NOT RATED,19 Sep 1941,114.0,movie,"António Lopes Ribeiro (dialogue), António Lopes Ribeiro (screenplay), Francisco Ribeiro (dialogue), Vasco Santana (dialogue)",1941,7.9,493,0,0
The Courtyard of the Ballads,"Maria das Neves, Vasco Santana, António Silva, Laura Alves",Portugal,Francisco Ribeiro,"Comedy, Musical",Portuguese,Unknown,NOT RATED,23 Jan 1942,121.0,movie,"António Lopes Ribeiro (screenplay), Francisco Ribeiro (screenplay), Vasco Santana (screenplay), António Lopes Ribeiro (dialogue), Vasco Santana (dialogue), Francisco Ribeiro (dialogue)",1942,7.8,930,0,0
A Date with the Falcon,"George Sanders, Wendy Barrie, James Gleason, Allen Jenkins",USA,Irving Reis,"Crime, Drama, Mystery",English,Unknown,APPROVED,16 Jan 1942,63.0,movie,"Lynn Root (screen play), Frank Fenton (screen play), Michael Arlen (based upon the character created by)",1942,6.5,576,0,0
Reunion in France,"Joan Crawford, John Wayne, Philip Dorn, Reginald Owen",USA,Jules Dassin,"Drama, Romance, War","English, German, French",MGM,PASSED,25 Dec 1942,104.0,movie,"Jan Lustig (screenplay), Marvin Borowsky (screenplay), Marc Connelly (screenplay), Leslie Bush-Fekete (story)",1942,6.1,1140,0,0
"Davy Crockett, Indian Scout","George Montgomery, Ellen Drew, Phillip Reed, Noah Beery Jr.",USA,Lew Landers,"Adventure, Western",English,United Artists,APPROVED,06 Jan 1950,71.0,movie,"Ford Beebe (story), Richard Schayer",1950,5.6,170,0,0
Stolen Identity,"Donald Buka, Joan Camden, Francis Lederer, Adrienne Gessner","Austria, USA",Gunther von Fritsch,"Drama, Film-Noir",English,Trans-Global,APPROVED,15 Sep 1958,81.0,movie,"Robert Hill (screen play), Alexander Lernet-Holenia (novel)",1953,6.3,129,0,0
O Costa d'África,"Vasco Santana, Laura Alves, Costinha, Erico Braga",Portugal,João Mendes,Comedy,Portuguese,Unknown,NOT RATED,19 Feb 1954,90.0,movie,"Joaquín Dicenta (novel), Antonio Paso (novel), Francisco Ribeiro, Henrique Santana (dialogue), Henrique Santana (screenplay), Vasco Santana (dialogue), Vasco Santana (screenplay)",1954,7.6,63,0,0
Beautiful Days,"Keiji Sada, Yoshiko Kuga, Isao Kimura, Toshiko Kobayashi",Japan,Masaki Kobayashi,Unknown,Japanese,Unknown,NOT RATED,25 May 1955,120.0,movie,Zenzô Matsuyama,1955,7.1,55,0,0
Sissi,"Romy Schneider, Karlheinz Böhm, Magda Schneider, Uta Franz",Austria,Ernst Marischka,"Comedy, Drama, History",German,Erma-Film,NOT RATED,22 Dec 1955,102.0,movie,Ernst Marischka,1955,7.1,6338,0,1
Sissi: The Fateful Years of an Empress,"Romy Schneider, Karlheinz Böhm, Magda Schneider, Gustav Knuth",Austria,Ernst Marischka,"Drama, History, Romance","German, Greek, Hungarian, Italian, Portuguese",Erma-Film,NOT RATED,Unknown,109.0,movie,Ernst Marischka,1957,6.6,3995,0,2
Du côté de la côte,"Roger Coggio, Anne Olivier, Jacopo Nizi",France,Agnès Varda,"Documentary, Short, History",French,Unknown,NOT RATED,27 Oct 2001,25.0,movie,"Agnès Varda (commentary), Agnès Varda (screenplay)",1958,7.2,317,0,0
The Warrior Empress,"Tina Louise, Kerwin Mathews, Riccardo Garrone, Antonio Battistella","Italy, France",Pietro Francisci,"Adventure, Drama, Romance",Italian,Unknown,NOT RATED,24 Aug 1960,89.0,movie,"Ennio De Concini (screenplay), Pietro Francisci (screenplay), Luciano Martino (screenplay), Pietro Francisci (story), Paddy Manning O'Brine (dubbing dialogue)",1960,5.5,94,0,0
The Seven Deadly Sins,"Danièle Barraud, Jean-Pierre Cassel, Jacques Charrier, Claude Rich","Italy, France","Philippe de Broca, Claude Chabrol, Jacques Demy, Sylvain Dhomme, Jean-Luc Godard, Édouard Molinaro, Roger Vadim, Max Douy(co-director)",Comedy,French,Unknown,NOT RATED,07 Mar 1962,113.0,movie,"Daniel Boulanger (dialogue), Daniel Boulanger (screenplay), Daniel Boulanger (segment), Claude Chabrol (segment), Jacques Demy (segment), Jean-Luc Godard (segment), Eugène Ionesco (segment), Félicien Marceau (dialogue), Félicien Marceau (screenplay), Félicien Marceau (segment), Claude Mauriac (segment), Roger Peyrefitte (idea), Roger Vadim (segment)",1962,6.5,351,0,0
Island of Love,"Robert Preston, Tony Randall, Giorgia Moll, Walter Matthau",USA,Morton DaCosta,Comedy,"English, Greek",Warner Bros.,APPROVED,25 Oct 1963,101.0,movie,"David R. Schwartz (screenplay), Leo Katcher (story)",1963,5.2,153,0,0
Le Bonheur,"Jean-Claude Drouot, Claire Drouot, Olivier Drouot, Sandrine Drouot",France,Agnès Varda,"Drama, Romance",French,Criterion Collection,NOT RATED,16 May 1997,79.0,movie,Agnès Varda,1965,7.7,2666,3,1
Man from Nowhere,"Giuliano Gemma, Fernando Sancho, Corinne Marchand, Nello Pazzafini","Italy, France",Michele Lupo,Western,"Italian, Spanish, French",Unknown,M,Unknown,104.0,movie,"Lewis E. Ciannelli (English language version), Ernesto Gastaldi, Luciano Martino",1966,6.3,350,0,0
Two or Three Things I Know About Her...,"Marina Vlady, Anny Duperey, Roger Montsoret, Raoul Lévy",France,Jean-Luc Godard,"Comedy, Drama","French, Italian",Criterion Collection,NOT RATED,17 Mar 1967,87.0,movie,"Catherine Vimenet (letter), Jean-Luc Godard",1967,7.0,5301,0,0
Cemetery Without Crosses,"Michèle Mercier, Robert Hossein, Guido Lollobrigida, Daniele Vargas","France, Italy",Robert Hossein,Western,"French, Italian, Spanish",Unknown,NOT RATED,25 Jan 1969,90.0,movie,"Robert Hossein (scenario), Claude Desailly (scenario), Dario Argento (scenario), Robert Hossein (adaptation), Claude Desailly (adaptation), Dario Argento (adaptation), Robert Hossein (dialogue), Claude Desailly (dialogue), Dario Argento (dialogue)",1969,6.9,1161,0,1
A Gentle Woman,"Dominique Sanda, Guy Frangin, Jeanne Lobre, Claude Ollier",France,Robert Bresson,"Drama, Romance",French,Acacia Films,NOT RATED,27 May 1971,88.0,movie,Fyodor Dostoevsky (from the short story by),1969,7.7,1724,1,0
The Rite,"Ingrid Thulin, Anders Ek, Gunnar Björnstrand, Erik Hell",Sweden,Ingmar Bergman,Drama,Swedish,Unknown,NOT RATED,18 Sep 1969,72.0,movie,Ingmar Bergman,1969,7.3,1577,0,0
Mera Naam Joker,"Manoj Kumar, Simi Garewal, Achala Sachdev, Rishi Kapoor",India,Raj Kapoor,"Comedy, Drama","Hindi, Russian, English",Yash Raj Films,NOT RATED,18 Dec 1970,224.0,movie,"Khwaja Ahmad Abbas (dialogue), Khwaja Ahmad Abbas (screenplay), Khwaja Ahmad Abbas (story)",1970,8.0,3754,5,0
Haathi Mere Saathi,"Rajesh Khanna, Tanuja, David Abraham, Sujit Kumar",India,M.A. Thirumugham,"Drama, Family, Musical",Hindi,Unknown,NOT RATED,01 May 1971,170.0,movie,"Javed Akhtar (screenplay), Inder Raj Anand (dialogue), Sandow M.M.A. Chinnappa Devar (story), Salim Khan (screenplay)",1971,7.0,828,0,0
Delirio caldo,"Mickey Hargitay, Rita Calderoni, Raul Lovecchio, Carmen Young",Italy,Renato Polselli,"Mystery, Thriller",Italian,Unknown,NOT RATED,05 Jul 1972,102.0,movie,Renato Polselli,1972,5.7,791,0,0
The Legend of Paul and Paula,"Angelica Domröse, Winfried Glatzeder, Heidemarie Wenzel, Fred Delmare",East Germany,Heiner Carow,"Drama, Romance",German,Deutsche Film (DEFA),NOT RATED,14 Mar 1973,105.0,movie,"Heiner Carow, Anne Pfeuffer (dramatisation), Ulrich Plenzdorf (scenario)",1973,7.1,869,0,0
Benaam,"Amitabh Bachchan, Moushumi Chatterjee, Satyendra Kapoor, Madan Puri",India,Narendra Bedi,"Drama, Mystery, Thriller",Hindi,Saavn,NOT RATED,18 Oct 1974,117.0,movie,"Narendra Bedi (screenplay), Jayant Dharmadhikari (screenplay), Kader Khan (dialogue)",1974,6.9,194,0,0
Sheila Levine Is Dead and Living in New York,"Jeannie Berlin, Roy Scheider, Rebecca Dianna Smith, Janet Brandt",USA,Sidney J. Furie,Comedy,English,Paramount Pictures,PG,01 Dec 1975,113.0,movie,"Gail Parent (novel), Kenny Solms",1975,6.4,184,0,0
"You're a Good Sport, Charlie Brown","Duncan Watson, Melanie Kohn, Stuart Brotman, Jimmy Ahrens",USA,Phil Roman,"Animation, Comedy, Family",English,Warner Home Video,NOT RATED,28 Oct 1975,24.0,movie,"Charles M. Schulz, Charles M. Schulz (creator)",1975,7.4,337,0,0
Death Machines,"Ronald L. Marchini, Michael Chong, Joshua Johnson, Mari Honjo",USA,Paul Kyriazi,"Action, Thriller",English,Crown International Pictures,R,01 Jun 1976,93.0,movie,"Joe Walders (screenplay), Paul Kyriazi (screenplay), Joe Walders (original story)",1976,3.6,378,0,0
Laserblast,"Kim Milford, Cheryl Smith, Gianni Russo, Ron Masak",USA,Michael Rae,"Horror, Sci-Fi",English,Irwin Yablans Company,PG,01 Mar 1978,85.0,movie,"Franne Schacht, Frank Ray Perilli",1978,2.5,4867,0,1
The Dark,"William Devane, Cathy Lee Crosby, Richard Jaeckel, Keenan Wynn",USA,"John 'Bud' Cardos, Tobe Hooper","Horror, Sci-Fi, Thriller",English,Dick Clark Productions,R,27 Apr 1979,92.0,movie,Stanford Whitmore,1979,4.2,918,0,1
Schneeweißchen und Rosenrot,"Julie Juristová, Katrin Martin, Pavel Trávnícek, Bodo Wolf",East Germany,Siegfried Hartmann,"Family, Fantasy",German,Unknown,NOT RATED,06 Jul 1979,70.0,movie,"Margot Beichler (scenario), Jacob Grimm (story), Wilhelm Grimm (story), Siegfried Hartmann",1979,6.7,265,0,0
Sparsh,"Shabana Azmi, Naseeruddin Shah, Sudha Chopra, Mohan Gokhale",India,Sai Paranjape,"Drama, Romance",Hindi,Unknown,NOT RATED,30 Jan 1980,145.0,movie,Sai Paranjape,1980,8.2,472,4,0
Star Trek II: The Wrath of Khan,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",USA,Nicholas Meyer,"Action, Adventure, Sci-Fi",English,Paramount Pictures,PG,04 Jun 1982,113.0,movie,"Gene Roddenberry (television series Star Trek), Harve Bennett (story), Jack B. Sowards (story), Jack B. Sowards (screenplay)",1982,7.7,99697,3,9
Nightbeast,"Tom Griffith, Jamie Zemarel, Karin Kardian, George Stover",USA,Don Dohler,"Horror, Sci-Fi",English,Cinema Enterprises,R,01 Nov 1982,80.0,movie,Don Dohler,1982,3.7,781,0,0
The Moon in the Gutter,"Gérard Depardieu, Nastassja Kinski, Victoria Abril, Bertice Reading","France, Italy",Jean-Jacques Beineix,Drama,French,Cinema Libre Studio,R,18 May 1983,137.0,movie,"Jean-Jacques Beineix (scenario), Olivier Mergault (scenario), David Goodis (novel)",1983,6.0,1027,1,4
Rang Birangi,"Amol Palekar, Parveen Babi, Farooq Shaikh, Deepti Naval",India,Hrishikesh Mukherjee,Comedy,Hindi,Unknown,NOT RATED,23 Apr 1983,180.0,movie,"Kamleshwar (story), Hrishikesh Mukherjee (screenplay), Ashok Rawat (dialogue)",1983,7.3,344,0,0
Hero,"Sanjeev Kumar, Shammi Kapoor, Jackie Shroff, Meenakshi Sheshadri",India,Subhash Ghai,"Action, Drama, Romance",Hindi,Unknown,NOT RATED,Unknown,173.0,movie,"Mukta Ghai (story), Subhash Ghai, Ram Kelkar (screenplay)",1983,6.7,627,0,0
Masoom,"Naseeruddin Shah, Shabana Azmi, Tanuja, Jugal Hansraj",India,Shekhar Kapur,"Drama, Family, Musical",Hindi,Unknown,NOT RATED,Unknown,165.0,movie,Gulzar (screenplay and dialogue),1983,8.5,2880,5,0
Star Trek III: The Search for Spock,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",USA,Leonard Nimoy,"Action, Adventure, Sci-Fi","English, Klingon, Russian, French",Paramount Pictures,PG,01 Jun 1984,105.0,movie,"Gene Roddenberry (television series Star Trek), Harve Bennett",1984,6.7,64491,1,7
Blastfighter,"Michael Sopkiw, Valentina Forte, George Eastman, Stefano Mingardo","Italy, France",Lamberto Bava,"Action, Crime, Drama","English, Italian, French",Unknown,NOT RATED,15 Nov 1985,87.0,movie,"Luca De Rita, Massimo De Rita, Morando Morandini Jr. (story), Dardano Sacchetti (story)",1984,5.8,735,0,0
Spookies,"Felix Ward, Maria Pechukas, Dan Scott, Alec Nemser","USA, Netherlands","Genie Joseph, Thomas Doran, Brendan Faulkner","Comedy, Horror",English,Twisted Souls,R,01 Jan 1988,85.0,movie,"Ann Burgund (additional material), Thomas Doran (screenplay), Frank M. Farel (screenplay: Twisted Souls footage), Brendan Faulkner (screenplay: Twisted Souls footage)",1986,5.1,1453,0,0
Karma,"Dilip Kumar, Nutan, Naseeruddin Shah, Jackie Shroff",India,Subhash Ghai,"Action, Adventure, Comedy",Hindi,Unknown,NOT RATED,08 Aug 1986,193.0,movie,"Sachin Bhowmick (screenplay), Subhash Ghai, Kader Khan (dialogue)",1986,7.4,1406,0,0
Mr. India,"Anil Kapoor, Sridevi, Amrish Puri, Satish Kaushik",India,Shekhar Kapur,"Action, Adventure, Family",Hindi,Unknown,NOT RATED,25 May 1987,179.0,movie,"Javed Akhtar, Salim Khan",1987,7.8,10135,1,0
Tezaab,"Anil Kapoor, Madhuri Dixit, Anupam Kher, Chunky Pandey",India,N. Chandra,"Action, Drama, Musical",Hindi,Ultra,NOT RATED,11 Nov 1988,173.0,movie,"N. Chandra, Kamlesh Pandey",1988,7.0,1421,4,1
Maine Pyar Kiya,"Salman Khan, Bhagyashree, Alok Nath, Rajeev Verma",India,Sooraj R. Barjatya,"Drama, Family, Musical",Hindi,Rajshri Media,NOT RATED,29 Dec 1989,192.0,movie,"S.M. Ahale (story), Sooraj R. Barjatya (dialogue), Sooraj R. Barjatya (screenplay)",1989,7.4,8432,4,2
Star Trek V: The Final Frontier,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",USA,William Shatner,"Action, Adventure, Fantasy","English, Klingon",Paramount Pictures,PG,09 Jun 1989,107.0,movie,"Gene Roddenberry (creator: based on ""Star Trek""), William Shatner (story), Harve Bennett (story), David Loughery (story), David Loughery (screenplay)",1989,5.4,48544,4,3
The Willies,"Sean Astin, Jason Horst, Joshua Miller, James Karen",USA,Brian Peck,"Horror, Comedy",English,Prism Entertainment,PG-13,27 Dec 1990,92.0,movie,Brian Peck (screenplay),1990,4.8,1147,0,0
Saajan,"Sanjay Dutt, Madhuri Dixit, Salman Khan, Ekta Sohini",India,Lawrence D'Souza,"Drama, Musical, Romance",Hindi,Unknown,NOT RATED,30 Aug 1991,181.0,movie,"Reema Rakesh Nath (dialogue), Reema Rakesh Nath (screenplay), Reema Rakesh Nath (story)",1991,7.3,4788,2,2
Phool Aur Kaante,"Ajay Devgn, Madhoo, Arif Khan, Jagdeep",India,Sandesh Kohli,"Thriller, Action, Crime",Hindi,Sonu Films International,NOT RATED,22 Nov 1991,173.0,movie,Iqbal Durrani,1991,5.8,948,1,0
100 Days,"Jackie Shroff, Madhuri Dixit, Javed Jaffrey, Laxmikant Berde",India,Partho Ghosh,"Horror, Romance, Thriller",Hindi,Unknown,NOT RATED,Unknown,161.0,movie,"Bhushan Banmali (dialogue), Devjyoti Roy (screenplay)",1991,6.6,702,0,0
Bitter Moon,"Peter Coyote, Emmanuelle Seigner, Hugh Grant, Kristin Scott Thomas","France, UK, USA",Roman Polanski,"Drama, Romance, Thriller","English, French",Lionsgate,R,18 Mar 1994,139.0,movie,"Pascal Bruckner (novel), Roman Polanski (screenplay), Gérard Brach (screenplay), John Brownjohn (screenplay), Jeff Gross (script collaboration)",1992,7.2,28820,1,1
Savage Nights,"Cyril Collard, Romane Bohringer, Carlos López, Corine Blue","France, Italy",Cyril Collard,"Biography, Drama","French, Spanish",CNC,NOT RATED,25 Feb 1994,126.0,movie,"Cyril Collard, Jacques Fieschi (adaptation)",1992,7.1,1924,7,4
Boomerang,"Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier",USA,Reginald Hudlin,"Comedy, Drama, Romance","English, French",Paramount Pictures,R,01 Jul 1992,117.0,movie,"Eddie Murphy (story), Barry W. Blaustein (screenplay), David Sheffield (screenplay)",1992,5.4,22110,1,4
Jo Jeeta Wohi Sikandar,"Aamir Khan, Ayesha Jhulka, Deepak Tijori, Pooja Bedi",India,Mansoor Khan,"Comedy, Drama, Romance",Hindi,Unknown,PG,22 May 1992,174.0,movie,"Nasir Hussain (dialogue), Mansoor Khan (screenplay), Mansoor Khan (story)",1992,8.2,17276,1,1
Heart,"Ajay Devgn, Karisma Kapoor, Ajit, Arjun",India,Farogh Siddique,"Action, Drama, Romance",Hindi,Unknown,NOT RATED,23 Oct 1992,161.0,movie,"Veeru Devgan (idea), Tanveer Khan (dialogue), Lalit Mahajan, Naeem-Ejaz (dialogue), Farogh Siddique",1992,4.7,622,0,0
Killing Zoe,"Eric Stoltz, Martin Raymond, Eric Pascal Chaltiel, Julie Delpy","France, USA",Roger Avary,"Crime, Thriller","English, French",Live Entertainment,R,01 Sep 1994,96.0,movie,Roger Avary,1993,6.5,18093,2,1
Thirty Two Short Films About Glenn Gould,"Colm Feore, Derek Keurvorst, Katya Ladan, Devon Anderson","Canada, Netherlands, Portugal, Finland",François Girard,"Biography, Drama, Music","English, French",Sony Pictures Home Entertainment,NOT RATED,26 Nov 1993,98.0,movie,"François Girard (screenplay), Don McKellar (screenplay), Glenn Gould (additional material)",1993,7.5,3249,7,4
Khal Nayak,"Rakhee Gulzar, Jackie Shroff, Sanjay Dutt, Madhuri Dixit",India,Subhash Ghai,"Action, Adventure, Crime",Hindi,Rajshri Media,NOT RATED,Unknown,190.0,movie,"Subhash Ghai, Ram Kelkar (screenplay), Kamlesh Pandey (dialogue)",1993,7.3,2150,1,2
Witchboard 2,"Ami Dolenz, Christopher Michael Moore, Laraine Newman, Timothy Gibbs",USA,Kevin Tenney,"Horror, Mystery",English,Republic Pictures Home Video,R,10 Sep 1993,98.0,movie,Kevin Tenney,1993,5.0,1210,0,0
Hum Hain Rahi Pyar Ke,"Aamir Khan, Juhi Chawla, Sharokh Bharucha, Kunal Khemu",India,Mahesh Bhatt,"Drama, Family, Comedy",Hindi,Unknown,NOT RATED,05 Jul 1993,163.0,movie,"Robin Bhatt (dialogue), Robin Bhatt (screenplay), Robin Bhatt (script), Robin Bhatt (story), Aamir Khan (screenplay), Sujit Sen (story)",1993,7.4,4290,4,1
Robot Wars,"Don Michael Paul, Barbara Crampton, James Staley, Lisa Rinna",USA,Albert Band,"Action, Sci-Fi",English,Full Moon,PG,28 Apr 1993,69.0,movie,"Charles Band (original idea), Jackson Barr (screenplay)",1993,4.1,775,0,0
Tango,"Philippe Noiret, Richard Bohringer, Thierry Lhermitte, Carole Bouquet",France,Patrice Leconte,Comedy,French,TF1 Films Production,NOT RATED,01 Apr 1996,88.0,movie,"Patrice Leconte (scenario), Patrick Dewolf (collaboration)",1993,6.4,1109,0,0
Baazigar,"Shah Rukh Khan, Rakhee Gulzar, Kajol, Siddharth",India,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Crime, Drama, Musical",Hindi,United Seven Creations,R,12 Nov 1993,175.0,movie,"Robin Bhatt, Akash Khurana, Javed Siddiqui",1993,7.8,21100,4,6
King Uncle,"Jackie Shroff, Shah Rukh Khan, Nagma, Sushmita Mukherjee",India,Rakesh Roshan,"Comedy, Drama, Family",Hindi,Unknown,NOT RATED,05 Feb 1993,171.0,movie,"Anees Bazmee (dialogue), Ravi Kapoor (screenplay), Mohan Kaul (screenplay)",1993,5.2,2268,0,0
Scanner Cop,"Daniel Quinn, Darlanne Fluegel, Richard Grove, Mark Rolston","USA, Canada, Germany",Pierre David,"Horror, Sci-Fi",English,Republic Pictures Home Video,R,01 May 1994,95.0,movie,"John Bryant, David Cronenberg (characters), Pierre David (story), George Saunders",1994,5.1,903,0,0
Dead Tired,"Michel Blanc, Carole Bouquet, Philippe Noiret, Josiane Balasko",France,Michel Blanc,Comedy,"French, English",Gaumont,R,12 Jul 1995,92.0,movie,"Michel Blanc (scenario and dialogue), Bertrand Blier (original idea)",1994,6.4,1574,2,2
Colonel Chabert,"Gérard Depardieu, Fanny Ardant, Fabrice Luchini, André Dussollier",France,Yves Angelo,"Drama, History, Romance",French,Republic Pictures Home Video,NOT RATED,21 Sep 1994,110.0,movie,"Yves Angelo, Jean Cosmos, Véronique Lagrange, Honoré de Balzac (novel)",1994,7.0,1486,2,6
Billy Madison,"Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras, Bradley Whitford",USA,Tamra Davis,Comedy,"English, French, Spanish",MCA Universal Home Video,PG-13,10 Feb 1995,89.0,movie,"Tim Herlihy, Adam Sandler",1995,6.4,114305,0,1
Evil Ed,"Johan Rudebeck, Per Löfberg, Olof Rhodin, Camela Leierth",Sweden,Anders Jacobsson,"Comedy, Horror","English, Swedish",Unknown,R,02 May 1997,93.0,movie,"Anders Jacobsson (screenplay), Göran Lundström (screenplay), Christer Ohlsson (screenplay), Anders Jacobsson, Göran Lundström, Christer Ohlsson",1995,5.5,2672,0,0
La Haine,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili",France,Mathieu Kassovitz,"Crime, Drama",French,Criterion Collection,NOT RATED,23 Feb 1996,98.0,movie,Mathieu Kassovitz,1995,8.1,119118,8,13
The City of Lost Children,"Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon","France, Germany, Spain, Belgium","Marc Caro, Jean-Pierre Jeunet","Fantasy, Sci-Fi","French, Cantonese",Sony Pictures Classics,R,15 Dec 1995,112.0,movie,"Gilles Adrien, Jean-Pierre Jeunet, Marc Caro, Gilles Adrien (dialogue), Guillaume Laurant (additional dialogue), Jean-Pierre Jeunet (additional dialogue)",1995,7.6,59243,2,11
Grumpier Old Men,"Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret",USA,Howard Deutch,"Comedy, Romance","English, Italian, German",Warner Home Video,PG-13,22 Dec 1995,101.0,movie,"Mark Steven Johnson (characters), Mark Steven Johnson",1995,6.6,21180,2,2
Orson Welles: The One-Man Band,"Oja Kodar, Ingrid Bergman, Tim Brooke-Taylor, Michael Bryant","Germany, France, Switzerland","Vassili Silovic, Oja Kodar",Documentary,"English, German",Unknown,NOT RATED,08 Oct 1995,88.0,movie,"Vassili Silovic, Roland Zag",1995,7.7,396,0,0
Happiness Is in the Field,"Michel Serrault, Eddy Mitchell, Sabine Azéma, Carmen Maura",France,Étienne Chatiliez,Comedy,French,Unknown,NOT RATED,31 Jan 1997,106.0,movie,Florence Quentin,1995,7.0,2346,1,5
Jumanji,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce",USA,Joe Johnston,"Adventure, Family, Fantasy","English, French",Sony Pictures Home Entertainment,PG,15 Dec 1995,104.0,movie,"Jonathan Hensleigh (screenplay), Greg Taylor (screenplay), Jim Strain (screenplay), Greg Taylor (screen story), Jim Strain (screen story), Chris Van Allsburg (screen story), Chris Van Allsburg (book)",1995,6.9,246203,4,9
French Kiss,"Meg Ryan, Kevin Kline, Timothy Hutton, Jean Reno","UK, USA",Lawrence Kasdan,"Comedy, Drama, Romance","English, French",Twentieth Century Fox Home Entertainment,PG-13,05 May 1995,111.0,movie,Adam Brooks,1995,6.6,41704,0,2
Barsaat,"Bobby Deol, Twinkle Khanna, Raj Babbar, Mukesh Khanna",India,Rajkumar Santoshi,"Action, Romance",Hindi,Unknown,NOT RATED,29 Sep 1995,166.0,movie,"Shyam Gupta (dialogue), Rajkumar Santoshi (dialogue), Rajkumar Santoshi (screenplay), Rajkumar Santoshi (story)",1995,5.3,807,1,0
The Hunted,"Christopher Lambert, John Lone, Joan Chen, Yoshio Harada",USA,J.F. Lawton,"Action, Drama, Thriller","English, Japanese",MCA Universal Home Video,R,24 Feb 1995,110.0,movie,J.F. Lawton,1995,5.9,4051,0,0
Robo Warriors,"James Remar, Kyle Howard, James Tolkan, James Lew",USA,Ian Barry,"Action, Adventure, Sci-Fi",English,Premiere Entertainment Productions,PG-13,01 Oct 1996,93.0,movie,"Stuart Gordon (characters), Michael Berlin",1996,4.8,322,0,0
Raja Hindustani,"Aamir Khan, Karisma Kapoor, Suresh Oberoi, Johnny Lever",India,Dharmesh Darshan,"Drama, Romance, Musical",Hindi,Unknown,NOT RATED,08 Nov 1996,165.0,movie,"Robin Bhatt (screenplay), Dharmesh Darshan (dialogue), Dharmesh Darshan (story), Dharmesh Darshan, Javed Siddiqui (dialogue)",1996,6.1,5596,9,0
Khamoshi: The Musical,"Nana Patekar, Salman Khan, Manisha Koirala, Seema Biswas",India,Sanjay Leela Bhansali,"Drama, Musical, Romance",Hindi,Unknown,NOT RATED,09 Aug 1996,159.0,movie,"Sanjay Leela Bhansali, Sutapa Sikdar (dialogue)",1996,7.5,1964,5,1
Ghatak: Lethal,"Sunny Deol, Meenakshi Sheshadri, Danny Denzongpa, Anjan Srivastav",India,Rajkumar Santoshi,"Action, Drama, Romance",Hindi,Unknown,NOT RATED,08 Nov 1996,158.0,movie,"Vijay Deveshwar (associate writer), Shyam Gupta (dialogue), K.K. Raina (associate screenplay), Rajkumar Santoshi (dialogue), Rajkumar Santoshi (screenplay), Rajkumar Santoshi (story)",1996,7.4,2458,2,0
Hi Cousin!,"Gad Elmaleh, Messaoud Hattau, Magaly Berdy, Ann-Gisel Glass","France, Algeria, Belgium, Luxembourg",Merzak Allouache,Comedy,"French, Arabic",Unknown,NOT RATED,21 Feb 1997,98.0,movie,"Merzak Allouache, Caroline Thivel",1996,6.4,253,3,1
The Boys Club,"Chris Penn, Dominic Zamprogna, Stuart Stone, Devon Sawa",Canada,John Fawcett,"Adventure, Crime, Drama",English,Ardustry Home Entertainment,R,Unknown,90.0,movie,"Doug Smith (story), Peter Wellington (screenplay)",1996,6.5,980,0,5
Mars Attacks!,"Jack Nicholson, Glenn Close, Annette Bening, Pierce Brosnan",USA,Tim Burton,"Comedy, Sci-Fi","English, French",Warner Home Video,PG-13,13 Dec 1996,106.0,movie,"Len Brown (trading card series), Woody Gelman (trading card series), Wally Wood (trading card series), Bob Powell (trading card series), Norman Saunders (trading card series), Jonathan Gems (screen story), Jonathan Gems (screenplay)",1996,6.3,187104,3,19
