Title,Actors,Country,Director,Genre,Language,Production,Rated,Released,Runtime_mins,Type,Writer,Year,imdbRating,imdbVotes,Wins,Nominated
1001 Grams,"Ane Dahl Torp, Laurent Stocker, Hildegun Riise, Stein Winge","Norway, Germany",Bent Hamer,Drama,"Norwegian, French, English",Kino Lorber,NOT RATED,26 Sep 2014,93.0,movie,Bent Hamer,2014,6.3,1134,3,8
Saihate nite,"Hiromi Nagasaku, Nozomi Sasaki, Hiyori Sakurada, Miyoko Asada",Japan,Hsiu-Chiung Chiang,Drama,Japanese,Unknown,NOT RATED,01 Feb 2015,118.0,movie,Nako Kakinoki (screenplay),2014,7.0,105,2,4
Star,"Tinatin Dalakishvili, Severija Janusauskaite, Pavel Tabakov, Andrey Smolyakov",Russia,Anna Melikyan,"Comedy, Drama",Russian,Unknown,NOT RATED,04 Dec 2014,128.0,movie,"Anna Melikyan, Andrey Migachev",2014,7.1,656,6,12
The Man from Oran,"Lyès Salem, Khaled Benaïssa, Djemel Barek, Amal Kateb","Algeria, France",Lyès Salem,"Drama, History","French, Arabic",Unknown,NOT RATED,19 Nov 2014,128.0,movie,Lyès Salem (screenplay),2014,7.3,93,3,5
Bangalore Days,"Dulquer Salmaan, Nazriya Nazim, Nivin Pauly, Fahadh Faasil",India,Anjali Menon,"Comedy, Drama, Romance",Malayalam,Unknown,NOT RATED,30 May 2014,171.0,movie,"Anjali Menon (dialogue), Anjali Menon (screenplay), Anjali Menon",2014,8.3,10384,3,1
Ohm Shanthi Oshaana,"Nazriya Nazim, Nivin Pauly, Aju Varghese, Vineeth Sreenivasan",India,Jude Anthany Joseph,"Comedy, Romance",Malayalam,Unknown,NOT RATED,07 Feb 2014,136.0,movie,"Jude Anthany Joseph, Midhun Manuel Thomas",2014,7.6,2903,4,0
The Quiet Hour,"Dakota Blue Richards, Karl Davies, Brigitte Millar, Jack McMullen","UK, Ireland",Stéphanie Joalland,"Drama, Sci-Fi, Thriller",English,Unknown,NOT RATED,21 Mar 2017,85.0,movie,Stéphanie Joalland,2014,4.6,808,2,5
Teen Lust,"Jesse Carere, Daryl Sabara, Annie Clark, Jon Dore",Canada,Blaine Thurier,"Comedy, Horror, Romance",English,Entertainment One,R,14 Aug 2015,80.0,movie,"Jason Stone, Blaine Thurier",2014,4.7,1271,0,0
Lai Bhaari,"Riteish Deshmukh, Radhika Apte, Tanvi Azmi, Uday Tikekar",India,Nishikant Kamat,Action,Marathi,Unknown,G,11 Jul 2014,157.0,movie,"Sajid Nadiadwala (story), Ritesh Shah (screenplay), Sanjay Pawar (dialogue)",2014,6.4,622,0,0
Last Shift,"Juliana Harkavy, Joshua Mikel, Hank Stone, J. LaRose",USA,Anthony DiBlasi,"Horror, Mystery, Thriller",English,Unknown,R,06 Oct 2015,90.0,movie,"Anthony DiBlasi, Scott Poiley",2014,5.8,12712,2,1
Sleepless in New York,"Helen Fisher, Michael Hariton, Rosey La Rouge, Alley Scott",Switzerland,Christian Frei,"Documentary, Drama, Romance",English,Unknown,NOT RATED,25 Sep 2015,90.0,movie,Christian Frei,2014,6.6,92,0,2
Paul Taylor Creative Domain,Unknown,USA,Kate Geis,"Documentary, Biography",English,Unknown,NOT RATED,11 Sep 2015,86.0,movie,Unknown,2014,7.7,20,0,0
The 10 Year Plan,"Jack Turner, Michael Adam Hamilton, Matthew Bridges, Adam Bucci",USA,J.C. Calciano,"Comedy, Romance",English,Cinema 175,NOT RATED,02 Jun 2015,90.0,movie,J.C. Calciano,2014,6.0,2297,5,0
Catch Me Daddy,"Sameena Jabeen Ahmed, Conor McCarron, Gary Lewis, Barry Nunney",UK,Daniel Wolfe,"Drama, Thriller","English, Urdu",Oscilloscope Pictures,R,27 Feb 2015,112.0,movie,"Daniel Wolfe, Matthew Wolfe",2014,6.3,1136,2,6
French Blood,"Alban Lenoir, Samuel Jouy, Paul Hamy, Olivier Chenille",France,Diastème,Drama,French,Unknown,NOT RATED,10 Jun 2015,98.0,movie,Diastème (screenplay),2015,6.2,843,0,4
RangiTaranga,"Nirup Bhandari, Radhika Chetan, Avantika Shetty, Sai Kumar",India,Anup Bhandari,"Adventure, Music, Mystery",Kannada,Unknown,NOT RATED,13 Aug 2015,149.0,movie,Anup Bhandari,2015,8.7,10248,0,2
Cemetery of Splendor,"Jenjira Pongpas, Banlop Lomnoi, Jarinpattra Rueangram, Petcharat Chaiburi","Thailand, UK, Germany, France, Malaysia, South Korea, Mexico, USA, Norway",Apichatpong Weerasethakul,"Drama, Fantasy","Thai, English",Unknown,NOT RATED,02 Sep 2015,122.0,movie,Apichatpong Weerasethakul,2015,6.8,3154,6,15
Pay the Ghost,"Nicolas Cage, Sarah Wayne Callies, Veronica Ferres, Lyriq Bent",Canada,Uli Edel,"Drama, Horror, Mystery","English, Spanish, Chinese, Scottish Gaelic",Voltage Films,NOT RATED,25 Sep 2015,94.0,movie,"Tim Lebbon (novel), Dan Kay (screenplay)",2015,5.2,12541,1,2
